"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2021-03-20";"POLK";4834;170;"3206";"43";"1646";"128";"20210320_POLK"
"2021-04-06";"WEAKLEY";11348;75;"6911";"29";"4411";"45";"20210406_WEAKLEY"
"2021-04-15";"SULLIVAN";88069;1144;"52793";"404";"38171";"727";"20210415_SULLIVAN"
"2021-04-17";"COCKE";19239;101;"11806";"38";"8113";"57";"20210417_COCKE"
"2021-05-16";"MONTGOMERY";89007;432;"49039";"267";"40142";"218";"20210516_MONTGOMERY"
"2021-05-19";"BRADLEY";54454;278;"30126";"151";"25518";"136";"20210519_BRADLEY"
"2021-05-29";"CHEATHAM";26660;84;"14427";"41";"12557";"43";"20210529_CHEATHAM"
"2021-05-31";"GRUNDY";4700;2;"2600";"0";"2250";"1";"20210531_GRUNDY"
"2021-06-01";"UNION";9900;2;"5406";"1";"4692";"1";"20210601_UNION"
"2021-02-05";"DICKSON";5664;548;"4059";"345";"1598";"202";"20210205_DICKSON"
"2021-02-05";"OBION";3916;256;"2963";"162";"950";"94";"20210205_OBION"
"2021-03-30";"PICKETT";2334;34;"1431";"15";"954";"19";"20210330_PICKETT"
"2021-04-17";"SEVIER";42831;646;"27587";"280";"16564";"361";"20210417_SEVIER"
"2021-05-01";"GRUNDY";4161;33;"2410";"26";"1866";"9";"20210501_GRUNDY"
"2021-05-13";"FENTRESS";7958;36;"4305";"11";"3774";"28";"20210513_FENTRESS"
"2021-05-15";"CUMBERLAND";39898;194;"21662";"78";"19546";"132";"20210515_CUMBERLAND"
"2021-05-18";"MONTGOMERY";89985;770;"49610";"444";"40606";"356";"20210518_MONTGOMERY"
"2021-02-06";"OBION";4110;194;"3059";"96";"1047";"97";"20210206_OBION"
"2021-02-10";"DYER";5421;310;"3696";"35";"1711";"271";"20210210_DYER"
"2021-03-23";"SEQUATCHIE";3388;62;"2241";"55";"1153";"8";"20210323_SEQUATCHIE"
"2021-04-03";"HAYWOOD";7281;49;"4655";"29";"2754";"28";"20210403_HAYWOOD"
"2021-04-03";"RHEA";12180;71;"7921";"58";"5238";"40";"20210403_RHEA"
"2021-04-15";"SUMNER";80821;1305;"51621";"604";"30626";"700";"20210415_SUMNER"
"2021-04-17";"SHELBY";470708;4765;"295208";"1829";"182979";"2981";"20210417_SHELBY"
"2021-05-08";"SULLIVAN";107036;678;"58765";"229";"51201";"488";"20210508_SULLIVAN"
"2021-05-19";"WEAKLEY";15931;108;"8525";"48";"7331";"61";"20210519_WEAKLEY"
"2021-05-21";"JACKSON";7511;33;"4063";"10";"3504";"23";"20210521_JACKSON"
"2021-05-23";"RUTHERFORD";199015;865;"112451";"443";"94133";"430";"20210523_RUTHERFORD"
"2021-05-25";"CUMBERLAND";41246;94;"22211";"36";"20375";"58";"20210525_CUMBERLAND"
"2021-05-30";"SEVIER";61525;127;"34292";"51";"28796";"82";"20210530_SEVIER"
"2021-06-02";"TROUSDALE";5322;5;"3044";"3";"2718";"3";"20210602_TROUSDALE"
"2021-02-07";"GREENE";10118;17;"7411";"11";"2697";"6";"20210207_GREENE"
"2021-03-31";"ROBERTSON";25740;809;"16932";"451";"9109";"363";"20210331_ROBERTSON"
"2021-04-06";"CROCKETT";6369;29;"3904";"10";"2573";"17";"20210406_CROCKETT"
"2021-05-14";"HICKMAN";12823;71;"7096";"28";"6097";"38";"20210514_HICKMAN"
"2021-05-16";"MONROE";25315;52;"14375";"32";"12565";"23";"20210516_MONROE"
"2021-05-17";"RHEA";17316;23;"10125";"6";"8756";"15";"20210517_RHEA"
"2021-05-19";"WILSON";94711;330;"51685";"168";"44779";"185";"20210519_WILSON"
"2021-05-20";"OUT OF STATE";159831;1366;"98214";"898";"68084";"523";"20210520_OUT OF STATE"
"2021-05-27";"CHEATHAM";26502;86;"14351";"39";"12468";"58";"20210527_CHEATHAM"
"2021-01-02";"HUMPHREYS";389;158;"";"";"";"";"20210102_HUMPHREYS"
"2021-01-23";"WILSON";8572;139;"6396";"136";"2168";"3";"20210123_WILSON"
"2021-02-02";"UNICOI";2895;66;"2342";"49";"546";"17";"20210202_UNICOI"
"2021-02-25";"COCKE";6131;143;"4399";"135";"1720";"8";"20210225_COCKE"
"2021-03-22";"BLEDSOE";3292;57;"2371";"54";"1138";"27";"20210322_BLEDSOE"
"2021-04-09";"POLK";6785;110;"4339";"68";"2575";"64";"20210409_POLK"
"2021-04-13";"CAMPBELL";16611;244;"10515";"94";"6621";"170";"20210413_CAMPBELL"
"2021-04-15";"CUMBERLAND";32984;475;"19513";"67";"14250";"411";"20210415_CUMBERLAND"
"2021-04-26";"CROCKETT";7606;25;"4287";"11";"3445";"14";"20210426_CROCKETT"
"2021-05-16";"WILLIAMSON";209469;894;"113487";"616";"99425";"344";"20210516_WILLIAMSON"
"2021-05-29";"LEWIS";5918;10;"3142";"3";"2788";"7";"20210529_LEWIS"
"2021-05-31";"RUTHERFORD";206362;431;"115946";"213";"98206";"229";"20210531_RUTHERFORD"
"2020-12-20";"WILSON";230;131;"";"";"";"";"20201220_WILSON"
"2021-01-29";"BLOUNT";13034;1048;"9296";"644";"3731";"404";"20210129_BLOUNT"
"2021-02-05";"DYER";4828;388;"3392";"298";"1424";"88";"20210205_DYER"
"2021-02-15";"MONROE";5616;21;"3692";"17";"1904";"4";"20210215_MONROE"
"2021-02-17";"HENDERSON";5798;12;"3918";"11";"1876";"1";"20210217_HENDERSON"
"2021-02-20";"COFFEE";7748;134;"5796";"35";"1948";"100";"20210220_COFFEE"
"2021-02-20";"CROCKETT";3248;-2;"1986";"-2";"1252";"0";"20210220_CROCKETT"
"2021-02-21";"STEWART";1920;7;"1328";"6";"592";"1";"20210221_STEWART"
"2021-03-10";"SMITH";4023;145;"2478";"46";"1525";"97";"20210310_SMITH"
"2021-03-22";"OVERTON";6536;49;"4202";"34";"2353";"20";"20210322_OVERTON"
"2021-03-31";"RUTHERFORD";97372;2852;"65087";"1627";"36469";"1355";"20210331_RUTHERFORD"
"2021-04-04";"MEIGS";6782;11;"4434";"10";"2500";"7";"20210404_MEIGS"
"2021-04-10";"FAYETTE";21321;410;"13628";"212";"8102";"244";"20210410_FAYETTE"
"2021-04-30";"TIPTON";24155;293;"14285";"59";"10498";"235";"20210430_TIPTON"
"2021-05-04";"HARDIN";13247;130;"7386";"36";"6227";"96";"20210504_HARDIN"
"2021-05-15";"DICKSON";30961;236;"16933";"85";"14356";"152";"20210515_DICKSON"
"2021-05-26";"ANDERSON";60224;170;"32694";"85";"28585";"94";"20210526_ANDERSON"
"2021-05-28";"LAWRENCE";21216;67;"11387";"18";"9908";"45";"20210528_LAWRENCE"
"2021-05-29";"CHESTER";8511;23;"4548";"13";"4070";"10";"20210529_CHESTER"
"2021-05-30";"SHELBY";633572;1163;"363231";"595";"277624";"579";"20210530_SHELBY"
"2021-06-02";"DECATUR";6208;12;"3294";"4";"2904";"7";"20210602_DECATUR"
"2021-01-31";"ANDERSON";6469;26;"4253";"23";"2204";"3";"20210131_ANDERSON"
"2021-03-13";"VAN BUREN";2342;40;"1523";"24";"826";"19";"20210313_VAN BUREN"
"2021-03-16";"HANCOCK";1932;36;"1149";"23";"769";"13";"20210316_HANCOCK"
"2021-03-27";"WAYNE";6572;146;"4136";"54";"2637";"121";"20210327_WAYNE"
"2021-04-01";"TIPTON";16700;459;"11067";"367";"5902";"100";"20210401_TIPTON"
"2021-04-02";"UNICOI";9139;76;"5616";"42";"3584";"56";"20210402_UNICOI"
"2021-04-05";"CAMPBELL";14724;200;"9559";"150";"5480";"63";"20210405_CAMPBELL"
"2021-04-13";"CANNON";4073;45;"2565";"25";"1623";"31";"20210413_CANNON"
"2021-04-14";"OUT OF STATE";116594;4599;"78333";"3655";"43820";"1069";"20210414_OUT OF STATE"
"2021-05-07";"CROCKETT";8135;76;"4426";"34";"3826";"49";"20210507_CROCKETT"
