"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2021-05-07";"ROBERTSON";41445;283;"23087";"102";"18861";"191";"20210507_ROBERTSON"
"2021-05-13";"GREENE";41662;147;"22478";"55";"19627";"96";"20210513_GREENE"
"2021-05-22";"WARREN";21902;67;"12084";"33";"10413";"35";"20210522_WARREN"
"2021-05-25";"HAMBLEN";35072;155;"19313";"71";"16688";"97";"20210525_HAMBLEN"
"2021-05-26";"MONTGOMERY";94753;552;"52278";"322";"42832";"242";"20210526_MONTGOMERY"
"2020-12-26";"COFFEE";257;0;"";"";"";"";"20201226_COFFEE"
"2021-01-15";"HOUSTON";530;30;"521";"30";"9";"0";"20210115_HOUSTON"
"2021-02-25";"CROCKETT";3634;80;"2155";"58";"1459";"18";"20210225_CROCKETT"
"2021-02-28";"MONROE";7993;66;"5632";"65";"2338";"1";"20210228_MONROE"
"2021-03-17";"MARSHALL";10749;119;"7091";"71";"3638";"48";"20210317_MARSHALL"
"2021-03-18";"DAVIDSON";217486;5618;"142345";"3163";"75677";"2604";"20210318_DAVIDSON"
"2021-03-20";"CARROLL";10801;148;"6677";"131";"4110";"22";"20210320_CARROLL"
"2021-04-26";"OUT OF STATE";133389;704;"86427";"348";"52465";"351";"20210426_OUT OF STATE"
"2021-04-29";"OUT OF STATE";137629;1504;"88141";"547";"55029";"996";"20210429_OUT OF STATE"
"2021-04-30";"MARSHALL";19298;238;"11398";"56";"8095";"183";"20210430_MARSHALL"
"2021-05-27";"CLAY";3674;12;"1974";"8";"1710";"5";"20210527_CLAY"
"2020-12-30";"JEFFERSON";827;180;"";"";"";"";"20201230_JEFFERSON"
"2021-02-09";"HAWKINS";7748;68;"5252";"46";"2484";"22";"20210209_HAWKINS"
"2021-02-13";"WASHINGTON";33902;840;"20817";"289";"12989";"545";"20210213_WASHINGTON"
